2022-04-24 22:17:32.144755352 +0700 WIB m=+0.136317882,OUT,START,updateProjectLinks,🎉🎉🎉
2022-04-24 22:17:32.144791968 +0700 WIB m=+0.136354501,OUT,START,updateProjectLinks,Links updated
2022-04-24 22:17:32.24904572 +0700 WIB m=+0.240608250,OUT,CHECK,startServer,🔎 Waiting for port '3000'
2022-04-24 22:17:42.282302094 +0700 WIB m=+10.273864624,OUT,START,startServer,Serving HTTP on 0.0.0.0 port 3000 (http://0.0.0.0:3000/) ...
2022-04-24 22:17:43.271473562 +0700 WIB m=+11.263036110,OUT,CHECK,startServer,🔎 Port '3000' is ready
2022-04-24 22:17:43.271506462 +0700 WIB m=+11.263068996,OUT,CHECK,startServer,🎉🎉🎉
2022-04-24 22:17:43.271605439 +0700 WIB m=+11.263167969,OUT,CHECK,startServer,📜 Task 'startServer' is ready
2022-04-24 22:17:44.875576079 +0700 WIB m=+12.867138606,OUT,START,startServer,
2022-04-24 22:17:44.875607685 +0700 WIB m=+12.867170213,OUT,START,startServer,"Keyboard interrupt received, exiting."
2022-04-24 22:17:44.87993291 +0700 WIB m=+12.871495440,OUT,START,startServer,🎉🎉🎉
2022-04-24 22:17:44.879968471 +0700 WIB m=+12.871531000,OUT,START,startServer,📜 Task 'startServer' is started
2022-04-24 22:33:29.945608398 +0700 WIB m=+0.139277920,OUT,START,updateProjectLinks,🎉🎉🎉
2022-04-24 22:33:29.94563165 +0700 WIB m=+0.139301169,OUT,START,updateProjectLinks,Links updated
2022-04-24 22:33:30.049893747 +0700 WIB m=+0.243563271,OUT,CHECK,startServer,🔎 Waiting for port '3000'
2022-04-24 22:33:40.084397956 +0700 WIB m=+10.278067474,OUT,START,startServer,Serving HTTP on 0.0.0.0 port 3000 (http://0.0.0.0:3000/) ...
2022-04-24 22:33:41.07179553 +0700 WIB m=+11.265465050,OUT,CHECK,startServer,🔎 Port '3000' is ready
2022-04-24 22:33:41.071847542 +0700 WIB m=+11.265517061,OUT,CHECK,startServer,🎉🎉🎉
2022-04-24 22:33:41.071963869 +0700 WIB m=+11.265633398,OUT,CHECK,startServer,📜 Task 'startServer' is ready
2022-04-24 22:33:42.676329863 +0700 WIB m=+12.869999384,OUT,START,startServer,
2022-04-24 22:33:42.676355482 +0700 WIB m=+12.870025002,OUT,START,startServer,"Keyboard interrupt received, exiting."
